,measurement rate,finded,initial state,simulation time,total jumps,total measurements,transition rate
397,0.5,1.0,0.0,122.228367507341,10.0,61.0,0.1
398,0.5,1.0,0.0,166.63190350194066,10.0,79.0,0.1
399,0.5,1.0,0.0,115.38641541944112,8.0,51.0,0.1
400,0.5,1.0,0.0,274.15456213214804,11.0,146.0,0.1
401,0.5,1.0,0.0,136.0869052913778,10.0,60.0,0.1
402,0.5,1.0,0.0,206.1465319663984,13.0,107.0,0.1
403,0.5,1.0,0.0,116.08802762934404,8.0,51.0,0.1
404,0.5,1.0,0.0,169.86580580825898,12.0,93.0,0.1
405,0.5,1.0,0.0,316.8362432027316,25.0,151.0,0.1
406,0.5,1.0,0.0,370.9185593863448,31.0,192.0,0.1
407,0.5,1.0,0.0,877.3397056412025,77.0,451.0,0.1
408,0.5,1.0,0.0,128.52088278469748,9.0,73.0,0.1
409,0.5,1.0,0.0,290.19969968295857,20.0,161.0,0.1
410,0.5,1.0,0.0,30.570596921198355,5.0,13.0,0.1
411,0.5,1.0,0.0,112.23174309341594,7.0,47.0,0.1
412,0.5,1.0,0.0,137.3514308414585,10.0,70.0,0.1
413,0.5,1.0,0.0,65.31463442147266,5.0,34.0,0.1
414,0.5,1.0,0.0,72.16525879975826,4.0,34.0,0.1
415,0.5,1.0,0.0,66.93445022313045,7.0,32.0,0.1
416,0.5,1.0,0.0,433.1834841325428,32.0,207.0,0.1
417,0.5,1.0,0.0,197.9720549032288,12.0,125.0,0.1
418,0.5,1.0,0.0,127.43470176353858,9.0,61.0,0.1
419,0.5,1.0,0.0,50.431377101599104,3.0,19.0,0.1
420,0.5,1.0,0.0,538.9909352209733,40.0,275.0,0.1
421,0.5,1.0,0.0,122.49889793119,7.0,62.0,0.1
422,0.5,1.0,0.0,118.34101579043,12.0,60.0,0.1
423,0.5,1.0,0.0,721.6260946802392,54.0,344.0,0.1
424,0.5,1.0,0.0,694.0410772121626,47.0,335.0,0.1
425,0.5,1.0,0.0,72.8076479272769,5.0,24.0,0.1
426,0.5,1.0,0.0,392.51410127529607,33.0,187.0,0.1
427,0.5,1.0,0.0,222.4074537707296,16.0,114.0,0.1
428,0.5,1.0,0.0,69.70851882406602,4.0,33.0,0.1
429,0.5,1.0,0.0,177.74131945222683,15.0,82.0,0.1
430,0.5,1.0,0.0,75.86447433305615,5.0,39.0,0.1
431,0.5,1.0,0.0,21.021180887928733,3.0,8.0,0.1
432,0.5,1.0,0.0,110.26550749031084,9.0,56.0,0.1
433,0.5,1.0,0.0,102.08862759564444,8.0,59.0,0.1
434,0.5,1.0,0.0,673.6358971876741,45.0,349.0,0.1
435,0.5,1.0,0.0,74.13833297523273,6.0,27.0,0.1
436,0.5,1.0,0.0,206.8001411599336,18.0,115.0,0.1
437,0.5,1.0,0.0,134.12693070735182,10.0,82.0,0.1
438,0.5,1.0,0.0,106.26974074839484,9.0,42.0,0.1
439,0.5,1.0,0.0,264.063290833301,19.0,124.0,0.1
440,0.5,1.0,0.0,105.39104273909751,12.0,50.0,0.1
